id,category,question,answer,url
1,Présentation,Qu'est-ce que l'ISET de Sfax?,"L'Institut Supérieur des Études Technologiques (ISET) de Sfax est un établissement d'enseignement supérieur public tunisien créé en 1995. Il fait partie du réseau des ISET et a pour mission de former des techniciens supérieurs dans divers domaines technologiques.",/presentation
2,Présentation,Quelle est la mission de l'ISET Sfax?,"La mission principale de l'ISET Sfax est de former des techniciens supérieurs et des cadres intermédiaires hautement qualifiés pour répondre aux besoins du marché du travail tunisien dans les domaines technologiques, économiques et de gestion.",/missions-et-objectifs
3,Présentation,Où se situe l'ISET de Sfax?,"L'ISET de Sfax est situé sur la route de Mahdia Km 2.5, Sfax, Tunisie.",/contact
4,Présentation,Quels sont les départements de l'ISET Sfax?,"L'ISET Sfax dispose de plusieurs départements : Technologies de l'Informatique, Génie Électrique, Génie Mécanique, Génie Civil, Sciences Économiques et Gestion, et Administration des Affaires.",/departements
5,Présentation,Qui est le directeur actuel de l'ISET Sfax?,"Le directeur actuel de l'ISET Sfax est le Professeur Chokri ELLOUZE, en poste depuis 2020.",/direction
6,Présentation,Quand a été fondé l'ISET de Sfax?,"L'ISET de Sfax a été fondé en 1995 dans le cadre du réseau national des Instituts Supérieurs des Études Technologiques.",/presentation/historique
7,Présentation,Combien d'étudiants compte l'ISET Sfax?,"L'ISET Sfax compte environ 3000 étudiants répartis dans les différentes filières et niveaux d'études.",/presentation/chiffres-cles
8,Présentation,Quelles sont les valeurs de l'ISET Sfax?,"Les valeurs fondamentales de l'ISET Sfax sont l'excellence académique, l'innovation technologique, l'ouverture sur le monde professionnel, l'intégrité et le respect de la diversité.",/presentation/valeurs
9,Présentation,Quels sont les objectifs stratégiques de l'ISET Sfax?,"Les objectifs stratégiques de l'ISET Sfax incluent le renforcement de la qualité des formations, le développement de la recherche appliquée, l'amélioration de l'employabilité des diplômés, et le renforcement des partenariats nationaux et internationaux.",/missions-et-objectifs
10,Présentation,Comment contacter l'administration de l'ISET Sfax?,"Pour contacter l'administration de l'ISET Sfax, vous pouvez appeler le +216 74 431 404 ou envoyer un email à contact@isetsf.rnu.tn.",/contact
11,Présentation,Quelles sont les heures d'ouverture de l'ISET Sfax?,"L'ISET Sfax est ouvert du lundi au vendredi de 8h00 à 18h00. L'administration est accessible de 8h30 à 16h30.",/infos-pratiques
12,Présentation,L'ISET Sfax est-il accrédité?,"Oui, l'ISET Sfax est un établissement public accrédité par le Ministère de l'Enseignement Supérieur et de la Recherche Scientifique de Tunisie.",/presentation/accreditation
13,Présentation,Comment accéder à l'ISET Sfax en transport?,"L'ISET Sfax est accessible par plusieurs lignes de bus urbains de la ville de Sfax. Il est situé sur la route de Mahdia Km 2.5, facilement accessible en taxi ou en voiture particulière.",/acces-et-plan
14,Présentation,Y a-t-il un plan du campus disponible?,"Oui, un plan interactif du campus est disponible sur le site web de l'institution dans la section 'Infos pratiques'.",/infos-pratiques/plan-du-campus
15,Présentation,Quelle est la superficie du campus de l'ISET Sfax?,"Le campus de l'ISET Sfax s'étend sur une superficie d'environ 10 hectares, comprenant les bâtiments d'enseignement, les laboratoires, les installations sportives et les espaces verts.",/presentation/infrastructure
16,Présentation,L'ISET Sfax dispose-t-il d'un système de management de la qualité?,"Oui, l'ISET Sfax a mis en place un système de management de la qualité conforme aux normes internationales pour assurer l'excellence dans tous ses services et formations.",/qualite
17,Présentation,Quels sont les principaux partenaires de l'ISET Sfax?,"Les principaux partenaires de l'ISET Sfax incluent des entreprises locales et internationales, d'autres établissements d'enseignement supérieur en Tunisie et à l'étranger, ainsi que des organismes gouvernementaux.",/partenaires
18,Présentation,L'ISET Sfax propose-t-il des visites guidées?,"Oui, l'ISET Sfax organise régulièrement des journées portes ouvertes et des visites guidées pour les futurs étudiants et leurs parents. Il est recommandé de contacter l'administration à l'avance pour programmer une visite.",/infos-pratiques/visites
19,Présentation,Quelle est la devise ou le slogan de l'ISET Sfax?,"La devise de l'ISET Sfax est 'Excellence, Innovation, Employabilité', reflétant ses engagements envers la qualité de l'enseignement et l'insertion professionnelle de ses diplômés.",/presentation
20,Présentation,L'ISET Sfax dispose-t-il d'une bibliothèque?,"Oui, l'ISET Sfax dispose d'une bibliothèque moderne offrant un large éventail de ressources documentaires physiques et numériques, accessible à tous les étudiants et au personnel.",/services/bibliotheque
21,Formation,Quelles licences peut-on préparer à l'ISET Sfax?,"L'ISET Sfax propose plusieurs licences nationales dans des domaines variés comme l'informatique, l'électronique, le génie mécanique, le génie civil, la gestion et l'économie.",/categories/27/licence-nationale
22,Formation,Quelle est la durée des études pour obtenir une licence à l'ISET Sfax?,"La durée des études pour obtenir une licence nationale à l'ISET Sfax est de trois ans (six semestres), comprenant des cours théoriques, des travaux pratiques et un stage de fin d'études.",/formation/organisation-des-etudes
23,Formation,L'ISET Sfax propose-t-il des formations en mastère?,"Oui, l'ISET Sfax propose des mastères professionnels dans plusieurs spécialités comme les réseaux informatiques, les systèmes embarqués, la gestion industrielle et d'autres domaines technologiques.",/categories/28/mastere-professionnel
24,Formation,Comment se déroule l'évaluation des étudiants à l'ISET Sfax?,"L'évaluation des étudiants à l'ISET Sfax se fait par contrôle continu et examens semestriels. Chaque module est évalué selon ses spécificités (examens écrits, travaux pratiques, projets, etc.).",/formation/evaluation
25,Formation,Quelles sont les spécialités disponibles en informatique?,"En informatique, l'ISET Sfax propose des spécialités comme le développement de systèmes d'information, les réseaux et systèmes informatiques, le multimédia et le développement web, et l'ingénierie des systèmes informatiques.",/departements/informatique/specialites
26,Formation,Est-ce que les diplômes de l'ISET Sfax sont reconnus à l'international?,"Oui, les diplômes délivrés par l'ISET Sfax sont des diplômes nationaux reconnus internationalement, notamment dans les pays francophones et dans le cadre des accords de reconnaissance mutuelle.",/formation/reconnaissance-des-diplomes
